 1
 1
 587 233 220
 400
 1	108	0	76	0	30	1	1
2	110	0	43	1	25	1	4
3	92	1	81	1	55	1	2
4	81	0	33	1	28	1	3
5	120	1	99	1	73	1	4
6	111	0	70	1	48	1	1
7	98	0	72	1	46	1	2
8	95	0	66	0	31	1	6
9	85	0	84	0	30	1	4
10	71	0	32	1	25	1	5
11	36	1	34	1	25	1	3
12	97	1	67	1	62	1	2
13	33	1	25	1	23	1	7
14	95	0	27	1	26	1	7
15	94	0	81	1	44	1	4
16	41	1	39	1	38	1	3
17	104	1	74	1	65	1	3
18	52	1	41	1	36	1	4
19	104	0	78	0	34	1	3
20	83	1	77	1	46	1	3
21	74	0	56	1	30	1	3
22	95	1	80	1	63	1	3
23	56	1	35	1	33	1	4
24	96	1	95	1	49	1	3
25	88	0	68	0	30	1	6
26	80	0	65	0	29	1	2
27	60	1	55	1	41	1	2
28	113	0	56	0	20	1	5
29	93	0	31	1	31	1	7
30	87	0	83	0	26	1	5
31	110	0	67	1	44	1	5
32	118	0	25	1	21	1	1
33	61	1	44	1	39	1	3
34	120	0	30	1	26	1	3
35	107	0	49	1	25	1	4
36	64	0	60	0	26	1	1
37	91	1	67	1	54	1	8
38	78	1	64	1	49	1	3
39	61	1	34	1	31	1	4
40	119	0	94	0	36	1	3
41	49	0	25	1	21	1	3
42	60	1	51	1	41	1	5
43	103	1	76	1	64	1	2
44	95	1	70	1	62	1	2
45	111	0	49	1	26	1	3
46	85	1	84	1	72	1	3
47	48	1	36	1	31	1	2
48	86	0	76	0	38	1	5
49	71	1	48	1	47	1	1
50	90	0	43	1	33	1	1
51	98	0	52	1	44	1	9
52	73	0	37	1	23	1	3
53	61	1	48	1	39	1	2
54	75	1	75	1	63	1	4
55	74	1	42	1	40	1	4
56	98	0	88	0	26	1	2
57	97	0	69	1	41	1	3
58	89	1	77	1	46	1	2
59	73	1	64	1	55	1	5
60	84	1	69	1	66	1	3
61	38	1	37	1	29	1	3
62	61	1	47	1	39	1	2
63	57	1	44	1	42	1	4
64	98	0	79	0	20	1	3
65	83	1	76	1	57	1	4
66	75	0	62	1	36	1	1
67	60	1	55	1	45	1	2
68	79	1	64	1	40	1	3
69	103	0	76	1	44	1	2
70	96	1	82	1	59	1	2
71	86	0	51	1	27	1	6
72	103	0	54	1	31	1	2
73	83	1	71	1	62	1	5
74	106	1	76	1	71	1	4
75	78	0	58	1	30	1	7
76	79	0	25	1	20	1	1
77	97	1	94	1	73	1	3
78	91	0	87	0	43	1	4
79	97	0	48	1	29	1	2
80	119	0	25	1	21	1	1
81	97	0	81	0	27	1	2
82	102	0	78	0	39	1	1
83	113	0	46	1	36	1	4
84	66	1	50	1	42	1	3
85	101	0	30	1	26	1	2
86	100	0	56	1	35	1	4
87	91	0	50	1	40	1	4
88	106	1	61	1	56	1	4
89	103	1	63	1	58	1	7
90	75	1	57	1	41	1	1
91	71	1	68	1	64	1	3
92	85	0	67	1	39	1	2
93	97	1	63	1	56	1	3
94	61	0	48	1	30	1	3
95	80	0	54	1	35	1	2
96	73	1	66	1	62	1	4
97	90	1	74	1	69	1	4
98	118	0	61	1	40	1	4
99	94	0	43	1	31	1	1
100	90	0	49	1	30	1	2
101	61	0	43	0	20	1	3
102	74	1	73	1	59	1	2
103	58	1	53	1	51	1	2
104	100	1	62	1	53	1	6
105	64	1	46	1	45	1	5
106	83	0	71	0	34	1	2
107	80	0	51	1	34	1	3
108	71	1	60	1	46	1	1
109	113	0	56	1	46	1	4
110	110	0	76	0	31	1	2
111	71	0	61	1	35	1	5
112	87	0	82	0	41	1	1
113	105	0	85	0	37	1	8
114	92	0	66	1	36	1	2
115	100	0	47	1	36	1	2
116	99	0	98	0	37	1	4
117	97	1	79	1	49	1	2
118	70	0	41	1	33	1	4
119	68	0	35	1	28	1	3
120	118	0	67	0	32	1	4
121	113	0	92	0	33	1	2
122	52	1	37	1	28	1	3
123	57	1	33	1	29	1	2
124	99	0	37	1	30	1	1
125	92	0	64	1	33	1	6
126	119	0	59	1	39	1	3
127	54	1	52	1	49	1	2
128	75	0	45	1	35	1	2
129	79	1	68	1	44	1	3
130	116	0	49	1	47	1	7
131	83	0	44	1	23	1	2
132	98	1	96	1	56	1	2
133	78	1	72	1	57	1	6
134	98	0	88	1	47	1	8
135	41	1	33	1	31	1	2
136	59	1	35	1	34	1	2
137	83	0	78	0	37	1	2
138	68	0	34	1	33	1	1
139	103	0	69	1	49	1	5
140	97	0	53	1	32	1	1
141	92	1	63	1	50	1	3
142	108	0	57	1	40	1	3
143	62	1	60	1	58	1	5
144	101	0	46	1	25	1	4
145	99	0	53	1	36	1	3
146	67	1	67	1	55	1	2
147	99	0	46	1	38	1	6
148	103	1	80	1	79	1	3
149	91	0	69	0	32	1	4
150	71	0	63	1	33	1	5
151	95	0	54	1	36	1	1
152	72	0	51	1	34	1	3
153	64	0	35	1	32	1	2
154	78	1	77	1	55	1	3
155	76	1	50	1	41	1	3
156	116	0	97	1	53	1	3
157	91	0	25	1	24	1	3
